"Cidade","UF","Salario.Bruto","Horas.Diarias","Tempo.de.Empresa","Experiencia.Profissional","Iniciativa.Privada.ou.Concursado","Cargo","Formacao","Pos.Graduacao.ou.Certificacao"
"Belo Horizonte","MG",2110,8,0.08,2,"Iniciativa Privada","Desenvolvedor Java - Junior","Sistemas de Informação","FALSE"
"João Pessoa","PB",2100,8,2,6,"Iniciativa Privada","Analista de sistemas/Desenvolvedor (JAVA WEB)","Ciencia da Computação","TRUE"
"Salvador","BA",2100,8,2.16,5,"Iniciativa Privada","Analista de TI (PostgreSQL + Aplicativos internos)","Ciencia da Computação","TRUE"
"Vitória","ES",2100,6,0.5,5,"Concursado","Analista de Negócios","Bacharel em Ciência da Computação","FALSE"
"Recife","PE",2070,8,2,3,"Iniciativa Privada","Desenvolvedor Java","Engenharia da Computação","TRUE"
"Brasília","DF",2000,8,5,0.25,"Concursado","Analista SI e TI.","Graduação em Segurança da Informação","TRUE"
"Recife","PE",2000,8,0.5,1,"Iniciativa Privada","Desenvolvedor Java","Tecnólogo em Análise e Desenvolvimento de Sistemas","TRUE"
"Belo Horizonte","MG",1900,8,1,2,"Iniciativa Privada","Desenvolvimento PHP","Sistema de informação","FALSE"
"Belo Horizonte","MG",1900,8,1,1.5,,"Desenvolvedor Web J2EE Junior","Ciência da Computação","TRUE"
"Recife","PE",1900,8,1,4.5,"Iniciativa Privada","Administrador de Banco de Dados","Ciências da Computação","FALSE"
"Curitiba","PR",1800,8,0.75,9,"Concursado","Redes e Servidores","Tecnologia em Redes","FALSE"
"Maceió","AL",1800,8,5,9,"Iniciativa Privada","Analista de TI e Redes",,"FALSE"
"Salvador","BA",1800,8,1,10,"Iniciativa Privada",,,"FALSE"
"Recife","PE",1700,8,2,3,"Iniciativa Privada","Analista de Sistemas","Engenharia de computação","TRUE"
"Belo Horizonte","MG",1600,8,0.5,2,"Iniciativa Privada","Trainee Desenvolvedor Web - Java","Bacharel em Sistemas de informação","FALSE"
"Campinas","SP",1500,6,0.41,4,"Iniciativa Privada","Programador PHP","Graduação em Ciência da Computação","FALSE"
"Viçosa","MG",1500,8,2,2,"Iniciativa Privada","Analista de sistemas/Desenvolvedor Web","Ciência da Computação","FALSE"
"Viçosa","MG",1500,6,2,8,"Iniciativa Privada","Desenvolvedor Web","Ciência da Computação","FALSE"
"Rio de Janeiro","RJ",1400,8,2,4,"Iniciativa Privada","Analista de suporte","Graduado em Analise de Sistemas","FALSE"
"Belo Horizonte","SP",1350,8,2,2,"Iniciativa Privada","Programador PHP / Delphi","Cuando Sistemas de Informação","FALSE"
"Uberlândia","MG",1300,8.8,0.25,0.25,"Iniciativa Privada","Outsourcing para empresa da área de Telecom. Java / Oracle","Bacharel em Ciência da Computação","FALSE"
"Brasília","DF",1200,8,1,6,"Concursado","Java",,"FALSE"
"Recife","PE",1200,8,1,2,"Iniciativa Privada","Gerenciamento de Projetos","Graduação em Sistemas de informação","FALSE"
"Salvador","BA",1200,8,0.25,32,"Iniciativa Privada","Técnico de Suporte (Redes e Servidores)","Ensino Médio","FALSE"
"Vitória","ES",1200,8,1,1,"Concursado","Sistemas P2P","Graduação em Engenharia de Computação","TRUE"
"Curitiba","SE",1150,9,1,1,"Iniciativa Privada","PHP, PostgreSQL","Graduado em Ciência da Computação","TRUE"
"Ji-Paraná","RO",1105,7,5,10,"Concursado","Técnico de Suporte (Redes e Servidores)","Licenciatura Plena Matemática","FALSE"
"Belo Horizonte","MG",1100,4,0,0,"Iniciativa Privada","Trainee Desenvolvedor Web - Java","Cursando Ciência da Computação","FALSE"
"Recife","PE",700,6,0.16,0,"Iniciativa Privada","Estagiário Desenvolvedor Web - Java","ADS","FALSE"
"Viçosa","MG",500,4,0,0,"Iniciativa Privada","Estagiário Desenvolvedor Web - Java","Cursando Ciência da Computação","FALSE"
